Zip,State
56592,MN
38827,MS
46595,IN
57572,SD
30514,GA
41729,KY
18040,PA
47327,IN
10456,NY
6870,CT
43017,OH
80731,CO
16646,PA
86341,AZ
73651,OK
49101,MI
62517,IL
93024,CA
97504,OR
59702,MT
7838,NJ
30307,GA
43789,OH
53403,WI
99707,AK
57235,SD
25332,WV
19432,PA
60187,IL
50799,IA
20050,DC
59840,MT
74740,OK
32136,FL
62088,IL
82931,WY
85922,AZ
11216,NY
14615,NY
23180,VA
92418,CA
17225,PA
4932,ME
64144,MO
78231,TX
25247,WV
58351,ND
48182,MI
60041,IL
79061,TX
48370,MI
10039,NY
49871,MI
27541,NC
12858,NY
94306,CA
15056,PA
61421,IL
90263,CA
61734,IL
63016,MO
13643,NY
67135,KS
76865,TX
20504,DC
29137,SC
1089,MA
84739,UT
99770,AK
12074,NY
64833,MO
78960,TX
98541,WA
28508,NC
12953,NY
39667,MS
61653,IL
43207,OH
45848,OH
32427,FL
16354,PA
13165,NY
23238,VA
2134,MA
4751,ME
31198,GA
20507,DC
50704,IA
92009,CA
48742,MI
46017,IN
77363,TX
19067,PA
62985,IL
57317,SD
29706,SC
1876,MA
38967,MS
28668,NC
67518,KS
48099,MI
36603,AL
23184,VA
2809,RI
87723,NM
6105,CT
65479,MO
62794,IL
30420,GA
99687,AK
47231,IN
62339,IL
58575,ND
47142,IN
19099,PA
79785,TX
6246,CT
8106,NJ
57061,SD
85085,AZ
13261,NY
49740,MI
2447,MA
77280,TX
62225,IL
91310,CA
50664,IA
23891,VA
45858,OH
2724,MA
4487,ME
14885,NY
3452,NH
98398,WA
8051,NJ
35051,AL
76483,TX
24146,VA
12148,NY
56076,MN
12832,NY
50630,IA
70052,LA
14488,NY
54476,WI
20204,DC
7008,NJ
99784,AK
32435,FL
1202,MA
65720,MO
30411,GA
63060,MO
16411,PA
83441,ID
46135,IN
36017,AL
16045,PA
52032,IA
72415,AR
48361,MI
37052,TN
34770,FL
97219,OR
71417,LA
80504,CO
22952,VA
33195,FL
40268,KY
59833,MT
98101,WA
31725,GA
97522,OR
24413,VA
35901,AL
33355,FL
35124,AL
91409,CA
64426,MO
55002,MN
95126,CA
78003,TX
19807,DE
79407,TX
18043,PA
75693,TX
11760,NY
99512,AK
4402,ME
25317,WV
49507,MI
79532,TX
57455,SD
72061,AR
33068,FL
72002,AR
73852,OK
21836,MD
80915,CO
2048,MA
61088,IL
70528,LA
77518,TX
51052,IA
81506,CO
13494,NY
33742,FL
