[INIT] Script started at 24-01-2025 16:33:14
Total Previous Judgment Files Found: 1263
Processing Year: 2004 | Total Judgments Found: 1
Processing Year: 2002 | Total Judgments Found: 0
Processing Year: 2003 | Total Judgments Found: 0
Processing Year: 2005 | Total Judgments Found: 32
Processing Year: 2008 | Total Judgments Found: 1176
Processing Year: 2006 | Total Judgments Found: 410
Processing Year: 2009 | Total Judgments Found: 1576
Processing Year: 2007 | Total Judgments Found: 766
Processing Year: 2010 | Total Judgments Found: 2120
Processing Year: 2011 | Total Judgments Found: 2634
Processing Year: 2012 | Total Judgments Found: 3159
Processing Year: 2013 | Total Judgments Found: 3724
Processing Year: 2014 | Total Judgments Found: 4330
