filename,item_title,item_subtitle,item_image,item_url,url_main,item_summary,type,hierarchy1,content
spokengospel_Genesis Introduction_video,Genesis Introduction,Read Genesis Differently. Watch This Video To See Jesus And Begin Your Journey.,https://cdn.prod.website-files.com/63fb963d0e70bd78675b9a1b/6643aaa31b5b47db5d598340_Genesis_Web.webp,https://www.youtube.com/watch?v=zIJBhEAIzj4,https://www.spokengospel.com/books/genesis,,video,,
spokengospel_Exodus Introduction_video,Exodus Introduction,Read Exodus Differently. Watch This Video To See Jesus And Begin Your Journey.,,https://www.youtube.com/watch?v=LpS50a4CmXM,https://www.spokengospel.com/books/exodus,,video,,
spokengospel_Exodus 3-4_text,Exodus 3-4,The Call of Moses,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.spokengospel.com/devotionals/exodus-3-4#read,,"In Exodus 3-4, we see that Jesus is the I Am, the new and better Moses, who rescues us from slavery to sin and death.",Website,Exodus Bible Study,"What's Happening?

God’s people are slaves in Egypt when they cry out to God for help. And God answers their cries (Exodus 2:24). 

His answer comes by saving a Hebrew baby from certain death, raising him to power in Egypt, and then bringing him out of Egypt so that God might put a powerful call on his life. That man is named Moses. 

While tending sheep, God appears to Moses and starts speaking out of a burning bush (Exodus 3:2). 

The voice identifies itself as the God of Moses’ forefathers - Abraham, Isaac, and Jacob. He tells Moses that he is going to rescue his people from their oppression in Egypt and that he is going to use Moses to do it. 

Moses has a lot of questions, but his most important has to do with God’s name. Moses asks what he is supposed to call this God (Exodus 3:13). 

God’s answer is,“I Am.” In the context of this passage, that name means at least two things. 

First, it reminds us of all the times God says “I Am the God of Abraham, Isaac, and Jacob” in this conversation (Exodus 3:6). He is the same God who spoke to Abraham and promised to make him a great nation.

God also used this name when he said, “I am with you” to Moses. God is going to make good on his promises to Abraham by accomplishing them with his very presence. 

Where is the Gospel?

The good news found in God’s name goes even further. For the whole world, ourselves included, have been in Israel’s position; crying out for God to save us from our slave masters of death and sin. 

And what happens when God hears the cries of the oppressed? He shows up!

Jesus was with us in flesh and blood (John 1:14). Jesus was with us in the humble form of a human. The Great I Am came to us. 

Which is why the ultimate expression of God’s name - I Am - is found in Jesus. 

Not only is Jesus the God of Abraham, Isaac, and Jacob, he is their promised descendent who would accomplish all the promises made to them. Jesus is both the promise maker and the promise keeper. He who made the promise to Eve and all her children became one of Eve’s children to keep that promise. 

And the ultimate saving miracle he performed was not a sign or wonder external to himself, though he did perform those. The ultimate miracle he performed was his death and resurrection. That’s how he is with us! That’s how he keeps his promises! That’s how he saves us! Through his death and resurrection Jesus can say I am with you to keep my promises. 

See for Yourself 

I pray that his Spirit gives you eyes to see the nearness of the God who is with us to keep his promises, and Jesus as the true embodiment of the I Am, who came even nearer in flesh and blood to complete every promise he made."
spokengospel_Exodus 3-4_video,Exodus 3-4,The Call of Moses,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.youtube.com/watch?v=0XdbHW1_smw,https://www.spokengospel.com/devotionals/exodus-3-4#read,"In Exodus 3-4, we see that Jesus is the I Am, the new and better Moses, who rescues us from slavery to sin and death.",video,Exodus Bible Study,
spokengospel_Genesis 42-45_text,Genesis 42-45,Joseph's Brothers,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.spokengospel.com/devotionals/genesis-42-45#read,,"In Genesis 42-45, we see that Jesus is the final one God raised up to provide eternal life and salvation for the whole world.",Website,Genesis Bible Study,"What's Happening?

Joseph is now a ruler in Egypt. From being sold as a slave, God has raised him up to hold one of the most powerful seats in the entire ancient world. 

But as Joseph saw in the dream, the land was going through seven years of famine. This included Canaan, where Joseph’s family lived. So Joseph’s brothers travel to Egypt to buy food, leaving only the youngest, Benjamin, behind (42:3). 

Upon arriving in Egypt, Joseph recognizes his brothers, but they don’t recognize him (42:7). So Joseph plays a series of tricks on them. He calls them spies and sends them away, demanding they bring Benjamin back. Yet, Joseph secretly returns the money they used to buy the grain. 

The brothers return with Benjamin, but this time Joseph sneaks his silver cup into the youngest brother's bag (44:2). When caught, Benjamin is threatened with imprisonment. But Judah intercedes, begging Joseph to let him take his place. 

Joseph can’t take the rouse any longer. He clears his court and reveals his true identity (45:1). 

He tells his brothers that it was not them that sent him to Egypt, but God. And God did this to save many lives, that there might be a remnant left on the earth after this massive famine (45:7). Like Noah and the flood, God raised up one man to save a remnant of people on the earth. 

God worked through the brothers' evil trickery to bring Joseph to the place where he could save the world. 

But God also used Joseph’s more innocent tricks to change the brothers as well. The brothers go through a moral change in this process. Going from selling their brother into slavery, to being willing to sell themselves into slavery for their brother. 

Where is the Gospel?

The most important picture of Jesus we need to see in this text is of God using one righteous man, sold into slavery, in order to save the world (Rom 5:17). We are the brothers, who sentence Jesus to death with our sin. But he treats us like Joseph treated his brothers (Ps 103:10). 

He provides us with food that saves our lives, but doesn’t even charge us for it (Is 55:1). Even though we killed him, he forgives us, fills our bags with provision, and welcomes us into his courts. 

When things look like they are too hopeless, or the famine is too severe, we can trust that God is working out his plans to save the world through it all. 

See for Yourself

I pray that the Holy Spirit would give you eyes to see the God who is in control of all things and uses that control to shape us, provide for us, and accomplish his plans. And that you would see Jesus as both the king who provides and the brother who lays down his life."
spokengospel_Genesis 42-45_video,Genesis 42-45,Joseph's Brothers,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.youtube.com/watch?v=bKbVMw46QHs,https://www.spokengospel.com/devotionals/genesis-42-45#read,"In Genesis 42-45, we see that Jesus is the final one God raised up to provide eternal life and salvation for the whole world.",video,Genesis Bible Study,
spokengospel_Genesis 3_text,Genesis 3,The Fall,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.spokengospel.com/devotionals/genesis-3#read,,"In Genesis 3, we see Jesus as the seed God promised that would come from Eve's line. This is the first mention of the Gospel in the Bible.",Website,Genesis Bible Study,"What's Happening?

What is sin? That’s a big question. And we get our first glimpse of it here in Genesis 3. 

Adam and Eve have been made in God’s image, given the garden to enjoy, and are simply to tend it, have children, and cover the earth with God’s image and presence (2:15). That’s all the knowledge of right and wrong, good and evil, they needed to thrive. 

In fact, they are only given one negative command. They are not to eat of the tree of the knowledge of good and evil (2:16). But why? 

The tree offers a knowledge not provided by God. To stay away from it would be to say, “God is enough. He has provided everything I need.” To eat from it, on the other hand, would be to say, “God is not enough. I need to provide something better for myself.” 

Satan, a spiritual being who looks like a snake in this story, tempts Eve to take the second option (3:1). He tells her that if she eats from this tree, she will know everything God knows. In fact, she will be like God (3:5). 

This should have been a pointless temptation. After all, Eve was already made in God’s image and had been told everything she needed to know from God himself. 

But she wanted more. She wanted to provide for herself. That’s what sin is - trying to get the good apart from God. 

Ironically, as soon as both Eve and Adam ate this fruit, they did gain a new bit of knowledge. But it was only the knowledge that they were sinners. They felt ashamed, naked, and afraid of God (3:7). 

So they have a conversation with God after trying to hide from him (3:8). But ultimately man and woman receive a curse from God. They will be kicked out of the garden and will die (3:24). 

But along with the curse, also comes a promise. God promises that Eve will have a child that will crush the head of the snake, breaking the curse of death and separation (3:15). 

Where is the Gospel?

It is truly amazing that only three chapters into the Bible, we already have an explicit promise of God’s plan to save the world through what we now know as the Gospel.

That is because the promised child of Eve is none other than Jesus. He is the one who crushed Satan’s head by taking the curse of sin off of us and onto himself. Furthermore, Jesus overcame the death earned in the garden by rising from the grave. 

Jesus not only reversed the curse earned by sin, he also gives us a way to conquer sin in our lives. Unlike Eve, we fight sin by trusting that Jesus is enough. He has done enough, provided enough, and will always be enough. You can stop trying to earn it. Satan’s head is already crushed. 

See for Yourself 

I pray that the Holy Spirit would show you the God who provides so richly for us that he doesn’t want us even going near the destructive lies of self-salvation and sin. And I pray that you would see Jesus as the promised one who has crushed the head of the snake, defeating death and the curse."
spokengospel_Genesis 3_video,Genesis 3,The Fall,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.youtube.com/watch?v=Bd_bgq_Z5L0,https://www.spokengospel.com/devotionals/genesis-3#read,"In Genesis 3, we see Jesus as the seed God promised that would come from Eve's line. This is the first mention of the Gospel in the Bible.",video,Genesis Bible Study,
spokengospel_Matthew Introduction_video,Matthew Introduction,Read Matthew Differently. Watch This Video To See Jesus And Begin Your Journey.,https://cdn.prod.website-files.com/63fb963d0e70bd78675b9a1b/66d0a2b984f4008e6dc65603_Matthew_Graphic.avif,https://www.youtube.com/watch?v=F8QsCLwSMVM,https://www.spokengospel.com/books/matthew,,video,,
spokengospel_Mark Introduction_video,Mark Introduction,Read Mark Differently. Watch This Video To See Jesus And Begin Your Journey.,,https://www.youtube.com/watch?v=ZBLKrNVffgo,https://www.spokengospel.com/books/mark,,video,,
