filename,item_title,item_subtitle,item_image,item_url,url_main,item_summary,type,hierarchy1,content
spokengospel_Genesis Introduction_video,Genesis Introduction,Read Genesis Differently. Watch This Video To See Jesus And Begin Your Journey.,https://cdn.prod.website-files.com/63fb963d0e70bd78675b9a1b/6643aaa31b5b47db5d598340_Genesis_Web.webp,https://www.youtube.com/watch?v=zIJBhEAIzj4,https://www.spokengospel.com/books/genesis,,video,,
spokengospel_Joshua Introduction_video,Joshua Introduction,Read Joshua Differently. Watch This Video To See Jesus And Begin Your Journey.,,https://www.youtube.com/watch?v=TtgQDsPO2G4,https://www.spokengospel.com/books/joshua,,video,,
spokengospel_Zephaniah Introduction_video,Zephaniah Introduction,Read Zephaniah Differently. Watch This Video To See Jesus And Begin Your Journey.,https://cdn.prod.website-files.com/63fb963d0e70bd78675b9a1b/65dcef78e37eb2f3f769f74c_zehpaniah_graphic.webp,https://www.youtube.com/watch?v=eENvjSouW9Y,https://www.spokengospel.com/books/zephaniah,,video,,
spokengospel_Genesis 22-23_text,Genesis 22-23,Sacrificing Isaac,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.spokengospel.com/devotionals/genesis-22-23#read,,"In Genesis 22-23, we see that Jesus is the son who God does not stop from being sacrificed.",Website,Genesis Bible Study,"What's Happening?

After decades of waiting, the son God promised Abraham and Sarah has been born. Isaac is Abraham’s only son, and he loves him dearly (22:2a). But God makes an impossible-sounding request of Abraham in order to test him (22:2b). God tells Abraham to go to a mountain called Moriah and sacrifice his only son Isaac. 

By faith, Abraham trusted that God would do something to make this right (Heb 11:19). 

He took his son to Mount Moriah, built an altar, and bound his son (22:9). With a knife in his hand, Abraham was about to sacrifice his son. But God stopped him by calling out to him. And when Abraham looked around, he saw a ram caught in a thicket which he then took and sacrificed in Isaac’s place. 

What was spoken in faith by Abraham before they went up on the mountain proved true: “God will provide for himself the lamb” (22:8). 

Where is the Gospel? 

What should stop us dead in our tracks is this: what God did not require of Abraham, he required of himself. Even though Abraham’s son was spared on that day, we know that God’s son, Jesus, was not (Rom 8:32). 

Even more so than Isaac, Jesus was the special and unique son of God (John 3:16). Even more so than Isaac, Jesus was the promised son from the line of Eve and Abraham. Even more so than Isaac, Jesus was the son through whom all nations would be blessed and God’s plan would be realized. 

Many ask a similar question in light of both this story and the cross. How could God allow Jesus to be killed? 

It was not a test for God, as it was for Abraham. God did not need to be tested. Instead, it was a testament to us. Just as Abraham being willing to sacrifice his son demonstrated his fear of God, Jesus sacrificing himself demonstrates God’s love for us (Rom 5:8). God loves us so much that he was willing to do for us what he did not even require Abraham to do. 

In the words of Abraham, God provided for himself the lamb. 

See for Yourself

I pray that the Holy Spirit would give you eyes to see the God who always provides a substitute for us when we need it most, and that you would see Jesus as the unique son of God who was not spared, but gave his life for yours."
spokengospel_Genesis 22-23_video,Genesis 22-23,Sacrificing Isaac,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.youtube.com/watch?v=gWxxQzrgWG0,https://www.spokengospel.com/devotionals/genesis-22-23#read,"In Genesis 22-23, we see that Jesus is the son who God does not stop from being sacrificed.",video,Genesis Bible Study,
spokengospel_Genesis 1-2_text,Genesis 1-2,Creation,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.spokengospel.com/devotionals/genesis-1-2#read,,"In Genesis 1-2 and the story of creation, we see that Jesus is unlike any other ""religious figure"" and Christianity is unlike any other ""religion.",Website,Genesis Bible Study,"What's Happening?

The opening chapters of Genesis talk about the creation of the world. But what they show us is how God is different from all other gods of the ancient world. 

The Jewish people weren’t the only ones with a story about how the world was made. And one of the things Genesis 1-2 are doing is setting the one true God apart from false gods.  

In other cultures’ creation accounts, the gods do terrible, immoral things that cause the universe to be created almost by accident. 

The one true God, however, creates the world on purpose, out of his purity, and simply by speaking his word (1:3). 

In pagan religions, different gods were over the sky and the sea and the land. 

The one true God is the maker of all of these (1:10). 

In pagan religions, humans are also the result of the gods’ accidental actions. 

The one true God creates humans intentionally and makes them in his image (1:26). 

Other creation myths from this time portray women as less than men or even a curse to men. But in Genesis, God creates both man and woman in his image (1:27). In fact, the only time God says something is not good in these first two chapters is when he says that it is not good for man to be without woman (2:18). Also, unlike the pagan gods who want nothing to do with the humans, the one true God tells the first humans why they exist. Their purpose is to multiply and fill the earth (2:15). By doing so, they would take God’s image and cover the whole world with his presence. All the while, they would enjoy God’s provision and presence in the garden. 

Finally, unlike the pagan gods who are always causing more trouble with their never-ending evil work, the one true God rests after he has finished creating because all the work is done (2:2). 

The opening of the Bible gives us a picture of the world and of God unlike anything else that man-made religions could come up with.

Where is the Gospel? 

Remarkably, the New Testament takes it one step further. It tells us that everything we read about in Genesis was actually created by the Word of God who became flesh in Jesus (Jn 1:1). 

The God who made humans in his image is the God who came in the image of humans. 

God coming to us in flesh and blood is ultimately what separates Christianity from every other religion. In every other religion, we are separated from God or gods or the spiritual realm and must perform a certain set of rituals or good deeds to get to them. 

But in Genesis 1, we see that our God is different. He who made everything, not only makes us in his image, but he makes himself in ours. He comes to us and fulfills the purpose given to Adam and Eve (Mat. 28:19) so we can return to the garden and be in God’s presence. By doing so, God offers us the rest he experienced on the seventh day of creation because all our work is complete in Jesus (Heb 4:9-10). 

See for Yourself 

I pray that the Holy Spirit would show you a God who is different from anything else in the universe and that you would see Jesus as the Word who spoke all things into existence, who also became like us so that he might bring us God’s presence and fill the earth with his image. "
spokengospel_Genesis 1-2_video,Genesis 1-2,Creation,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.youtube.com/watch?v=rFHefc6WwfQ,https://www.spokengospel.com/devotionals/genesis-1-2#read,"In Genesis 1-2 and the story of creation, we see that Jesus is unlike any other ""religious figure"" and Christianity is unlike any other ""religion.",video,Genesis Bible Study,
spokengospel_Joshua 13-15_text,Joshua 13-15,Caleb and Judah,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.spokengospel.com/devotionals/joshua-13-15#read,,"In Joshua 13-15, we see that Jesus has secured a land for us far better than Caleb or Judah by conquering every shred of evil that exists in our world.",Website,Joshua Bible Study,"What’s Happening? 

Joshua has obediently and faithfully driven the Canaanites from Israel’s homeland. By this time he is old, and there is still a lot of unconquered land (Joshua 13:1). But God commands Joshua to divide the land among the tribes of Israel, as if it had already been conquered (Joshua 13:7). 

The first allotments focus on one man and one tribe—Caleb and the tribe of Judah. 

Back in Numbers, when Israel was first ready to enter Canaan, Caleb and Joshua were the only spies who trusted God and did not fear the inhabitants of the land (Numbers 13:30). For his faithfulness, God promised Caleb the land he spied out (Numbers 14:24). Now Joshua honors Caleb’s faithfulness and God’s promise by giving him his reward (Joshua 14:13). 

The first tribe to receive their land is Judah (Joshua 15:1). Judah is also given more land than any other tribe. This repeats a pattern from Genesis when Jacob blesses Judah more than his brothers (Genesis 49:8). And in Numbers Judah is given a prominent position around the tabernacle (Numbers 2:3). As Israel settles in the land, Judah is again elevated among the other tribes of Israel. 

But one significant detail makes Israel’s possession of the land seem uneasy. As the tribes enter into their allotted land, they’re unable to drive out the remaining Canaanites (Joshua 15:63). 

Where is the Gospel?

Ultimately, Jesus fulfills both Caleb and Judah’s hope for a homeland. 

The giants that Caleb fearlessly conquered in the land allotted to him were the descendants of the Nephilim (Numbers 13:33). They were part of the reason God sent the great flood (Genesis 6:4). Caleb’s victory over these powers prepares us for Jesus as the new and better Caleb (Joshua 15:14). 

As Jesus and his Kingdom spread across the promised land, he drove out demons and healed the sick, conquering territory that wicked spiritual beings had taken (Matthew 4:23). But Jesus not only conquered evil in one territory like Caleb, he triumphed over all sin and all enemies around the world (Ephesians 1:21). Unlike Joshua, whose victory waned in the hour of his death, Jesus triumphed over evil and sin specifically in the hour of his death (Colossians 2:15). And his rule over evil continues forever by nature of his resurrection. 

Jesus is also the very reason Judah is elevated throughout Scripture, since Jesus is from the tribe of Judah! Judah gives us hope in the middle of unconquered lands. Jesus, the ultimate Judean, emerged from this tribe and conquers every pocket of evil in the world. He brings peace to God’s people on every side (Genesis 49:10). Like Judah and Caleb, in Jesus we have been promised both peace and a home in his Kingdom.

See For Yourself

May the Holy Spirit will open your eyes to see the God who keeps his promises even when we don’t keep ours. And may see Jesus as the one who conquers all evil in his death and resurrection."
spokengospel_Joshua 13-15_video,Joshua 13-15,Caleb and Judah,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.youtube.com/watch?v=RIhmytK7lAY,https://www.spokengospel.com/devotionals/joshua-13-15#read,"In Joshua 13-15, we see that Jesus has secured a land for us far better than Caleb or Judah by conquering every shred of evil that exists in our world.",video,Joshua Bible Study,
spokengospel_Zephaniah 1:1-2:3_text,Zephaniah 1:1-2:3,The Day of the Lord’s Destruction,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.spokengospel.com/devotionals/zephaniah-1-2#read,,"In Zephaniah 1:1-2:3, we see that eventually, God will no longer undo creation because the Creator will be undone for us. God will not sacrifice his people but himself in Jesus.",Website,Zephaniah Bible Study,"What’s Happening?

When God first made the earth, we’re told he singled out two creatures to image his moral purity, love, and generosity to the world (Genesis 1:28). God chose humanity to be the only image of God. But in pride, the first carriers of God’s image abdicated their call. That day led to the world’s ruin (Genesis 3:16-19). The prophet Zephaniah warns history is about to repeat itself. On a day in the near future, God will raise up an empire to end the pride, violence, and idolatry of both Judah and the rest of the world’s leaders. Zephaniah calls that day the “Day of the Lord'' (Zephaniah 1:7). It’s a day when God will visit the earth—not to create it, but to undo it. God will uncreate all his images that have failed to image him (Genesis 1:26; Zephaniah 1:3).

As a nation Judah was supposed to image God’s purity, love, and generosity to a watching world but it has failed (Zephaniah 1:4). Instead, her people set up shrines to the stars, and bowed to images of the gods Baal and Molech (Zephaniah 1:5-6). God’s chosen nation has abdicated her call, and her failure will ruin the earth again. The first time God’s images failed like this God sacrificed an animal to signal he would still be faithful (Genesis 3:21). But now God says he will make a sacrifice out of his people (Zephaniah 1:8). On the Day of the Lord, God will consume kings, princes, and leaders like a sacrificial meal (Zephaniah 1:9-13). 

Practically, the Day of the Lord’s decreation and sacrifice will come through war (Zephaniah 1:14). Soon the Babylonian empire will be the agent of God’s anger on Judah and all other nations who have copied Jerusalem’s idolatrous ingratitude and pride (Zephaniah 1:15-16). On God’s day of war, trauma will blind the world as Babylon’s armies disembowel and drain their victims of their blood (Zephaniah 1:17). God’s burning passion will consume the earth through Babylon’s armies (Zephaniah 1:18). 

But this inevitable day of destruction for the world doesn’t mean the destruction of all God’s people. Zephaniah’s prophecy is a warning to those willing to listen (Zephaniah 2:1-2). Yes, the world as they know it will end and Judah will fall. But during the Day of the Lord, the humble will be protected (Zephaniah 2:3). 

Where is the Gospel?

We’re told that Zephaniah prophesied during the time of Josiah (Zephaniah 1:1). Josiah, found a long-lost copy of God’s laws and realized, to his horror, the extent of Judah’s sins (2 Kings 22:13). Immediately, Josiah tore down the images of other gods. But Josiah’s willingness to represent God’s moral purity, love, and generosity would only save Josiah (2 Kings 22:16). It would not stop the inevitable Day of the Lord against Judah’s accumulated failings (2 Kings 22:19). Babylon was still coming. Apparently, the sins of a representative few can indict entire nations—and even all of humanity. But the obedience of a good king only lasts for a generation. 

Josiah couldn’t save his kingdom, but Jesus has. Jesus accepted his role to image God’s moral purity, love, and generosity to the world (Hebrews 1:3). He refused to abdicate that call even when it meant becoming a sacrifice for his people (Luke 22:42). And like a righteously angry warrior, Jesus went to war against idolatry and pride on the cross. The wartime terror of Zephaniah’s judgments all came true (Matthew 27:51-52a). They were not meted out by Jesus on his people, but on himself. He allows the armies of Rome to blind his eyes in death and drain his body of blood so that we would know God’s burning passion was entirely consumed. God will no longer undo creation because the Creator was undone for us. God will not sacrifice his people because he has sacrificed himself. Jesus experienced the Day of the Lord so the humble can be protected.

Jesus saves his Kingdom where Josiah failed because Jesus rose from the dead. Josiah’s obedience protected his life, but Jesus’ obedience protects even after death. Jesus cannot die again. Just as chaos, ruin, and death entered the world through the sins of a representative few, Jesus’ resurrection represents the hope of the world (1 Corinthians 15:20-22). Jesus is just the first to be protected from the Day of the Lord by resurrection (1 Corinthians 15:23). Everyone who accepts the call to extend God’s image is invited to enter a recreated world where neither pride nor death live anymore (1 Corinthians 15:24-25).

See for Yourself

I pray that the Holy Spirit will open your eyes to see the God who brings destruction. And may you see Jesus as the one who is consumed and sacrificed so that the humble inherit his Kingdom. "
